pipeline_weight,query_id,retrieved_document_ids,binary_at_k,rank_score
0.1,32570213_0,"['32570213_0', '24219022_0', '36141869_1', '37063526_0', '37810159_1', '33680164_0', '29620381_1', '29620381_0', '27124201_0', '37435094_1']",1,1.0
0.1,37482976_0,"['37482976_0', '30485276_0', '35279812_1', '35838802_1', '35281771_0', '37189967_1', '30225394_0', '29468939_0', '35740447_0', '37397318_1']",1,1.0
0.1,33849021_0,"['33849021_0', '34373429_0', '35587827_1', '35587827_0', '32522530_1', '36835908_1', '33708925_0', '36182633_0', '34586899_1', '37405133_0']",1,1.0
0.1,36852255_2,"['36852255_2', '36852255_1', '36852255_0', '36203468_1', '36203468_0', '31422141_1', '36336026_0', '36566995_0', '37329614_0', '37395329_0']",1,1.0
0.1,24371326_0,"['24371326_0', '29045744_0', '26229474_0', '29045744_1', '29143763_0', '35915384_1', '28180904_0', '28062262_0', '25904723_1', '37403365_1']",1,1.0
0.1,37175421_0,"['27818232_0', '37175421_0', '36077809_0', '37759727_0', '37492179_0', '33195338_0', '35954165_0', '36077809_1', '35490641_0', '37420843_0']",1,0.5
0.15,32942903_0,"['32942903_0', '24289983_0', '26637947_0', '30811274_0', '37307647_0', '26070109_1', '32352985_0', '37257484_0', '37307647_1', '37397318_1']",1,1.0
0.15,34050339_0,"['34050339_0', '37608987_1', '31611774_0', '36950108_0', '33826888_0', '30152837_0', '37222619_0', '35527819_0', '32670012_1', '37396619_0']",1,1.0
0.15,36238668_1,"['37831692_1', '36238668_1', '37121995_2', '36637549_1', '35875744_1', '33386098_0', '33797376_1', '33203255_1', '35271075_1', '37399055_2']",1,0.5
0.15,37177696_0,"['35271075_0', '30654576_0', '34750962_1', '37177696_0', '25713631_0', '36945350_0', '29677974_0', '37750614_0', '35885741_1', '37420680_1']",0,0.25
0.15,32570213_0,"['32570213_0', '24219022_0', '36141869_1', '37063526_0', '37810159_1', '33680164_0', '29620381_1', '29620381_0', '27124201_0', '37435094_1']",1,1.0
0.15,37482976_0,"['37482976_0', '30485276_0', '35279812_1', '35838802_1', '35281771_0', '37189967_1', '30225394_0', '29468939_0', '35740447_0', '37397318_1']",1,1.0
0.15,33849021_0,"['33849021_0', '34373429_0', '35587827_1', '35587827_0', '32522530_1', '36835908_1', '33708925_0', '36182633_0', '34586899_1', '37405133_0']",1,1.0
0.15,36852255_2,"['36852255_2', '36852255_1', '36852255_0', '36203468_1', '36203468_0', '31422141_1', '36336026_0', '36566995_0', '37329614_0', '37395329_0']",1,1.0
0.15,24371326_0,"['24371326_0', '29045744_0', '26229474_0', '29045744_1', '29143763_0', '35915384_1', '28180904_0', '28062262_0', '25904723_1', '37403365_1']",1,1.0
0.15,37175421_0,"['27818232_0', '37175421_0', '36077809_0', '37759727_0', '37492179_0', '33195338_0', '35954165_0', '36077809_1', '35490641_0', '37420843_0']",1,0.5
0.2,32942903_0,"['32942903_0', '24289983_0', '26637947_0', '30811274_0', '37307647_0', '26070109_1', '32352985_0', '37257484_0', '37307647_1', '37397318_1']",1,1.0
0.2,34050339_0,"['34050339_0', '37608987_1', '31611774_0', '36950108_0', '33826888_0', '30152837_0', '37222619_0', '35527819_0', '32670012_1', '37396619_0']",1,1.0
0.2,36238668_1,"['37831692_1', '36238668_1', '37121995_2', '36637549_1', '35875744_1', '33386098_0', '33797376_1', '33203255_1', '35271075_1', '37399055_2']",1,0.5
0.2,37177696_0,"['35271075_0', '30654576_0', '34750962_1', '37177696_0', '25713631_0', '36945350_0', '29677974_0', '37750614_0', '35885741_1', '37420680_1']",0,0.25
0.2,32570213_0,"['32570213_0', '24219022_0', '36141869_1', '37063526_0', '37810159_1', '33680164_0', '29620381_1', '29620381_0', '27124201_0', '37435094_1']",1,1.0
0.2,37482976_0,"['37482976_0', '30485276_0', '35279812_1', '35838802_1', '35281771_0', '37189967_1', '30225394_0', '29468939_0', '35740447_0', '37397318_1']",1,1.0
0.2,33849021_0,"['33849021_0', '34373429_0', '35587827_1', '35587827_0', '32522530_1', '36835908_1', '33708925_0', '36182633_0', '34586899_1', '37405133_0']",1,1.0
0.2,36852255_2,"['36852255_2', '36852255_1', '36852255_0', '36203468_1', '36203468_0', '31422141_1', '36336026_0', '36566995_0', '37329614_0', '37395329_0']",1,1.0
0.2,24371326_0,"['24371326_0', '29045744_0', '26229474_0', '29045744_1', '29143763_0', '35915384_1', '28180904_0', '28062262_0', '25904723_1', '37403365_1']",1,1.0
0.2,37175421_0,"['27818232_0', '37175421_0', '36077809_0', '37759727_0', '37492179_0', '33195338_0', '35954165_0', '36077809_1', '35490641_0', '37420843_0']",1,0.5
0.25,32942903_0,"['32942903_0', '24289983_0', '26637947_0', '30811274_0', '37307647_0', '26070109_1', '32352985_0', '37257484_0', '37307647_1', '37397318_1']",1,1.0
0.25,34050339_0,"['34050339_0', '37608987_1', '31611774_0', '36950108_0', '33826888_0', '30152837_0', '37222619_0', '35527819_0', '32670012_1', '37396619_0']",1,1.0
0.25,36238668_1,"['37831692_1', '36238668_1', '37121995_2', '36637549_1', '35875744_1', '33386098_0', '33797376_1', '33203255_1', '35271075_1', '37399055_2']",1,0.5
0.25,37177696_0,"['35271075_0', '30654576_0', '34750962_1', '37177696_0', '25713631_0', '36945350_0', '29677974_0', '37750614_0', '35885741_1', '37420680_1']",0,0.25
0.25,32570213_0,"['32570213_0', '24219022_0', '36141869_1', '37063526_0', '37810159_1', '33680164_0', '29620381_1', '29620381_0', '27124201_0', '37435094_1']",1,1.0
0.25,37482976_0,"['37482976_0', '30485276_0', '35279812_1', '35838802_1', '35281771_0', '37189967_1', '30225394_0', '29468939_0', '35740447_0', '37397318_1']",1,1.0
0.25,33849021_0,"['33849021_0', '34373429_0', '35587827_1', '35587827_0', '32522530_1', '36835908_1', '33708925_0', '36182633_0', '34586899_1', '37405133_0']",1,1.0
0.25,36852255_2,"['36852255_2', '36852255_1', '36852255_0', '36203468_1', '36203468_0', '31422141_1', '36336026_0', '36566995_0', '37329614_0', '37395329_0']",1,1.0
0.25,24371326_0,"['24371326_0', '29045744_0', '26229474_0', '29045744_1', '29143763_0', '35915384_1', '28180904_0', '28062262_0', '25904723_1', '37403365_1']",1,1.0
0.25,37175421_0,"['27818232_0', '37175421_0', '36077809_0', '37759727_0', '37492179_0', '33195338_0', '35954165_0', '36077809_1', '35490641_0', '37420843_0']",1,0.5
0.3,32942903_0,"['32942903_0', '24289983_0', '26637947_0', '30811274_0', '37307647_0', '26070109_1', '32352985_0', '37257484_0', '37307647_1', '37397318_1']",1,1.0
0.3,34050339_0,"['34050339_0', '37608987_1', '31611774_0', '36950108_0', '33826888_0', '30152837_0', '37222619_0', '35527819_0', '32670012_1', '37396619_0']",1,1.0
0.3,36238668_1,"['37831692_1', '36238668_1', '37121995_2', '36637549_1', '35875744_1', '33386098_0', '33797376_1', '33203255_1', '35271075_1', '37399055_2']",1,0.5
0.3,37177696_0,"['35271075_0', '30654576_0', '34750962_1', '37177696_0', '25713631_0', '36945350_0', '29677974_0', '37750614_0', '35885741_1', '37420680_1']",0,0.25
0.3,32570213_0,"['32570213_0', '24219022_0', '36141869_1', '37063526_0', '37810159_1', '33680164_0', '29620381_1', '29620381_0', '27124201_0', '37435094_1']",1,1.0
0.3,37482976_0,"['37482976_0', '30485276_0', '35279812_1', '35838802_1', '35281771_0', '37189967_1', '30225394_0', '29468939_0', '35740447_0', '37397318_1']",1,1.0
0.3,33849021_0,"['33849021_0', '34373429_0', '35587827_1', '35587827_0', '32522530_1', '36835908_1', '33708925_0', '36182633_0', '34586899_1', '37405133_0']",1,1.0
0.3,36852255_2,"['36852255_2', '36852255_1', '36852255_0', '36203468_1', '36203468_0', '31422141_1', '36336026_0', '36566995_0', '37329614_0', '37395329_0']",1,1.0
0.3,24371326_0,"['24371326_0', '29045744_0', '26229474_0', '29045744_1', '29143763_0', '35915384_1', '28180904_0', '28062262_0', '25904723_1', '37403365_1']",1,1.0
0.3,37175421_0,"['27818232_0', '37175421_0', '36077809_0', '37759727_0', '37492179_0', '33195338_0', '35954165_0', '36077809_1', '35490641_0', '37420843_0']",1,0.5
0.35,32942903_0,"['32942903_0', '24289983_0', '26637947_0', '30811274_0', '37307647_0', '26070109_1', '32352985_0', '37257484_0', '37307647_1', '37397318_1']",1,1.0
0.35,34050339_0,"['34050339_0', '37608987_1', '31611774_0', '36950108_0', '33826888_0', '30152837_0', '37222619_0', '35527819_0', '32670012_1', '37396619_0']",1,1.0
0.35,36238668_1,"['37831692_1', '36238668_1', '37121995_2', '36637549_1', '35875744_1', '33386098_0', '33797376_1', '33203255_1', '35271075_1', '37399055_2']",1,0.5
0.35,37177696_0,"['35271075_0', '30654576_0', '34750962_1', '37177696_0', '25713631_0', '36945350_0', '29677974_0', '37750614_0', '35885741_1', '37420680_1']",0,0.25
0.35,32570213_0,"['32570213_0', '24219022_0', '36141869_1', '37063526_0', '37810159_1', '33680164_0', '29620381_1', '29620381_0', '27124201_0', '37435094_1']",1,1.0
0.35,37482976_0,"['37482976_0', '30485276_0', '35279812_1', '35838802_1', '35281771_0', '37189967_1', '30225394_0', '29468939_0', '35740447_0', '37397318_1']",1,1.0
0.35,33849021_0,"['33849021_0', '34373429_0', '35587827_1', '35587827_0', '32522530_1', '36835908_1', '33708925_0', '36182633_0', '34586899_1', '37405133_0']",1,1.0
0.35,36852255_2,"['36852255_2', '36852255_1', '36852255_0', '36203468_1', '36203468_0', '31422141_1', '36336026_0', '36566995_0', '37329614_0', '37395329_0']",1,1.0
0.35,24371326_0,"['24371326_0', '29045744_0', '26229474_0', '29045744_1', '29143763_0', '35915384_1', '28180904_0', '28062262_0', '25904723_1', '37403365_1']",1,1.0
0.35,37175421_0,"['27818232_0', '37175421_0', '36077809_0', '37759727_0', '37492179_0', '33195338_0', '35954165_0', '36077809_1', '35490641_0', '37420843_0']",1,0.5
0.4,32942903_0,"['32942903_0', '24289983_0', '26637947_0', '30811274_0', '37307647_0', '26070109_1', '32352985_0', '37257484_0', '37307647_1', '37397318_1']",1,1.0
0.4,34050339_0,"['34050339_0', '37608987_1', '31611774_0', '36950108_0', '33826888_0', '30152837_0', '37222619_0', '35527819_0', '32670012_1', '37396619_0']",1,1.0
0.4,36238668_1,"['37831692_1', '36238668_1', '37121995_2', '36637549_1', '35875744_1', '33386098_0', '33797376_1', '33203255_1', '35271075_1', '37399055_2']",1,0.5
0.4,37177696_0,"['35271075_0', '30654576_0', '34750962_1', '37177696_0', '25713631_0', '36945350_0', '29677974_0', '37750614_0', '35885741_1', '37420680_1']",0,0.25
0.4,32570213_0,"['32570213_0', '24219022_0', '36141869_1', '37063526_0', '37810159_1', '33680164_0', '29620381_1', '29620381_0', '27124201_0', '37435094_1']",1,1.0
0.4,37482976_0,"['37482976_0', '30485276_0', '35279812_1', '35838802_1', '35281771_0', '37189967_1', '30225394_0', '29468939_0', '35740447_0', '37397318_1']",1,1.0
0.4,33849021_0,"['33849021_0', '34373429_0', '35587827_1', '35587827_0', '32522530_1', '36835908_1', '33708925_0', '36182633_0', '34586899_1', '37405133_0']",1,1.0
0.4,36852255_2,"['36852255_2', '36852255_1', '36852255_0', '36203468_1', '36203468_0', '31422141_1', '36336026_0', '36566995_0', '37329614_0', '37395329_0']",1,1.0
0.4,24371326_0,"['24371326_0', '29045744_0', '26229474_0', '29045744_1', '29143763_0', '35915384_1', '28180904_0', '28062262_0', '25904723_1', '37403365_1']",1,1.0
0.4,37175421_0,"['27818232_0', '37175421_0', '36077809_0', '37759727_0', '37492179_0', '33195338_0', '35954165_0', '36077809_1', '35490641_0', '37420843_0']",1,0.5
0.45,32942903_0,"['32942903_0', '24289983_0', '26637947_0', '30811274_0', '37307647_0', '26070109_1', '32352985_0', '37257484_0', '37307647_1', '37397318_1']",1,1.0
0.45,34050339_0,"['34050339_0', '37608987_1', '31611774_0', '36950108_0', '33826888_0', '30152837_0', '37222619_0', '35527819_0', '32670012_1', '37396619_0']",1,1.0
0.45,36238668_1,"['37831692_1', '36238668_1', '37121995_2', '36637549_1', '35875744_1', '33386098_0', '33797376_1', '33203255_1', '35271075_1', '37399055_2']",1,0.5
0.45,37177696_0,"['35271075_0', '30654576_0', '34750962_1', '37177696_0', '25713631_0', '36945350_0', '29677974_0', '37750614_0', '35885741_1', '37420680_1']",0,0.25
0.45,32570213_0,"['32570213_0', '24219022_0', '36141869_1', '37063526_0', '37810159_1', '33680164_0', '29620381_1', '29620381_0', '27124201_0', '37435094_1']",1,1.0
0.45,37482976_0,"['37482976_0', '30485276_0', '35279812_1', '35838802_1', '35281771_0', '37189967_1', '30225394_0', '29468939_0', '35740447_0', '37397318_1']",1,1.0
0.45,33849021_0,"['33849021_0', '34373429_0', '35587827_1', '35587827_0', '32522530_1', '36835908_1', '33708925_0', '36182633_0', '34586899_1', '37405133_0']",1,1.0
0.45,36852255_2,"['36852255_2', '36852255_1', '36852255_0', '36203468_1', '36203468_0', '31422141_1', '36336026_0', '36566995_0', '37329614_0', '37395329_0']",1,1.0
0.45,24371326_0,"['24371326_0', '29045744_0', '26229474_0', '29045744_1', '29143763_0', '35915384_1', '28180904_0', '28062262_0', '25904723_1', '37403365_1']",1,1.0
0.45,37175421_0,"['27818232_0', '37175421_0', '36077809_0', '37759727_0', '37492179_0', '33195338_0', '35954165_0', '36077809_1', '35490641_0', '37420843_0']",1,0.5
0.5,32942903_0,"['32942903_0', '24289983_0', '26637947_0', '30811274_0', '37307647_0', '26070109_1', '32352985_0', '37257484_0', '37307647_1', '37397318_1']",1,1.0
0.5,34050339_0,"['34050339_0', '37608987_1', '31611774_0', '36950108_0', '33826888_0', '30152837_0', '37222619_0', '35527819_0', '32670012_1', '37396619_0']",1,1.0
0.5,36238668_1,"['37831692_1', '36238668_1', '37121995_2', '36637549_1', '35875744_1', '33386098_0', '33797376_1', '33203255_1', '35271075_1', '37399055_2']",1,0.5
0.5,37177696_0,"['35271075_0', '30654576_0', '34750962_1', '37177696_0', '25713631_0', '36945350_0', '29677974_0', '37750614_0', '35885741_1', '37420680_1']",0,0.25
0.5,32570213_0,"['32570213_0', '24219022_0', '36141869_1', '37063526_0', '37810159_1', '33680164_0', '29620381_1', '29620381_0', '27124201_0', '37435094_1']",1,1.0
0.5,37482976_0,"['37482976_0', '30485276_0', '35279812_1', '35838802_1', '35281771_0', '37189967_1', '30225394_0', '29468939_0', '35740447_0', '37397318_1']",1,1.0
0.5,33849021_0,"['33849021_0', '34373429_0', '35587827_1', '35587827_0', '32522530_1', '36835908_1', '33708925_0', '36182633_0', '34586899_1', '37405133_0']",1,1.0
0.5,36852255_2,"['36852255_2', '36852255_1', '36852255_0', '36203468_1', '36203468_0', '31422141_1', '36336026_0', '36566995_0', '37329614_0', '37395329_0']",1,1.0
0.5,24371326_0,"['24371326_0', '29045744_0', '26229474_0', '29045744_1', '29143763_0', '35915384_1', '28180904_0', '28062262_0', '25904723_1', '37403365_1']",1,1.0
0.5,37175421_0,"['27818232_0', '37175421_0', '36077809_0', '37759727_0', '37492179_0', '33195338_0', '35954165_0', '36077809_1', '35490641_0', '37420843_0']",1,0.5
0.55,32942903_0,"['32942903_0', '24289983_0', '26637947_0', '30811274_0', '37307647_0', '26070109_1', '32352985_0', '37257484_0', '37307647_1', '37397318_1']",1,1.0
0.55,34050339_0,"['34050339_0', '37608987_1', '31611774_0', '36950108_0', '33826888_0', '30152837_0', '37222619_0', '35527819_0', '32670012_1', '37396619_0']",1,1.0
0.55,36238668_1,"['37831692_1', '36238668_1', '37121995_2', '36637549_1', '35875744_1', '33386098_0', '33797376_1', '33203255_1', '35271075_1', '37399055_2']",1,0.5
0.55,37177696_0,"['35271075_0', '30654576_0', '34750962_1', '37177696_0', '25713631_0', '36945350_0', '29677974_0', '37750614_0', '35885741_1', '37420680_1']",0,0.25
0.55,32570213_0,"['32570213_0', '24219022_0', '36141869_1', '37063526_0', '37810159_1', '33680164_0', '29620381_1', '29620381_0', '27124201_0', '37435094_1']",1,1.0
0.55,37482976_0,"['37482976_0', '30485276_0', '35279812_1', '35838802_1', '35281771_0', '37189967_1', '30225394_0', '29468939_0', '35740447_0', '37397318_1']",1,1.0
0.55,33849021_0,"['33849021_0', '34373429_0', '35587827_1', '35587827_0', '32522530_1', '36835908_1', '33708925_0', '36182633_0', '34586899_1', '37405133_0']",1,1.0
0.55,36852255_2,"['36852255_2', '36852255_1', '36852255_0', '36203468_1', '36203468_0', '31422141_1', '36336026_0', '36566995_0', '37329614_0', '37395329_0']",1,1.0
0.55,24371326_0,"['24371326_0', '29045744_0', '26229474_0', '29045744_1', '29143763_0', '35915384_1', '28180904_0', '28062262_0', '25904723_1', '37403365_1']",1,1.0
0.55,37175421_0,"['27818232_0', '37175421_0', '36077809_0', '37759727_0', '37492179_0', '33195338_0', '35954165_0', '36077809_1', '35490641_0', '37420843_0']",1,0.5
0.6,32942903_0,"['32942903_0', '24289983_0', '26637947_0', '30811274_0', '37307647_0', '26070109_1', '32352985_0', '37257484_0', '37307647_1', '37397318_1']",1,1.0
0.6,34050339_0,"['34050339_0', '37608987_1', '31611774_0', '36950108_0', '33826888_0', '30152837_0', '37222619_0', '35527819_0', '32670012_1', '37396619_0']",1,1.0
0.6,36238668_1,"['37831692_1', '36238668_1', '37121995_2', '36637549_1', '35875744_1', '33386098_0', '33797376_1', '33203255_1', '35271075_1', '37399055_2']",1,0.5
0.6,37177696_0,"['35271075_0', '30654576_0', '34750962_1', '37177696_0', '25713631_0', '36945350_0', '29677974_0', '37750614_0', '35885741_1', '37420680_1']",0,0.25
0.6,32570213_0,"['32570213_0', '24219022_0', '36141869_1', '37063526_0', '37810159_1', '33680164_0', '29620381_1', '29620381_0', '27124201_0', '37435094_1']",1,1.0
0.6,37482976_0,"['37482976_0', '30485276_0', '35279812_1', '35838802_1', '35281771_0', '37189967_1', '30225394_0', '29468939_0', '35740447_0', '37397318_1']",1,1.0
0.6,33849021_0,"['33849021_0', '34373429_0', '35587827_1', '35587827_0', '32522530_1', '36835908_1', '33708925_0', '36182633_0', '34586899_1', '37405133_0']",1,1.0
0.6,36852255_2,"['36852255_2', '36852255_1', '36852255_0', '36203468_1', '36203468_0', '31422141_1', '36336026_0', '36566995_0', '37329614_0', '37395329_0']",1,1.0
0.6,24371326_0,"['24371326_0', '29045744_0', '26229474_0', '29045744_1', '29143763_0', '35915384_1', '28180904_0', '28062262_0', '25904723_1', '37403365_1']",1,1.0
0.6,37175421_0,"['27818232_0', '37175421_0', '36077809_0', '37759727_0', '37492179_0', '33195338_0', '35954165_0', '36077809_1', '35490641_0', '37420843_0']",1,0.5
0.65,32942903_0,"['32942903_0', '24289983_0', '26637947_0', '30811274_0', '37307647_0', '26070109_1', '32352985_0', '37257484_0', '37307647_1', '37397318_1']",1,1.0
0.65,34050339_0,"['34050339_0', '37608987_1', '31611774_0', '36950108_0', '33826888_0', '30152837_0', '37222619_0', '35527819_0', '32670012_1', '37396619_0']",1,1.0
0.65,36238668_1,"['37831692_1', '36238668_1', '37121995_2', '36637549_1', '35875744_1', '33386098_0', '33797376_1', '33203255_1', '35271075_1', '37399055_2']",1,0.5
0.65,37177696_0,"['35271075_0', '30654576_0', '34750962_1', '37177696_0', '25713631_0', '36945350_0', '29677974_0', '37750614_0', '35885741_1', '37420680_1']",0,0.25
0.65,32570213_0,"['32570213_0', '24219022_0', '36141869_1', '37063526_0', '37810159_1', '33680164_0', '29620381_1', '29620381_0', '27124201_0', '37435094_1']",1,1.0
0.65,37482976_0,"['37482976_0', '30485276_0', '35279812_1', '35838802_1', '35281771_0', '37189967_1', '30225394_0', '29468939_0', '35740447_0', '37397318_1']",1,1.0
0.65,33849021_0,"['33849021_0', '34373429_0', '35587827_1', '35587827_0', '32522530_1', '36835908_1', '33708925_0', '36182633_0', '34586899_1', '37405133_0']",1,1.0
0.65,36852255_2,"['36852255_2', '36852255_1', '36852255_0', '36203468_1', '36203468_0', '31422141_1', '36336026_0', '36566995_0', '37329614_0', '37395329_0']",1,1.0
0.65,24371326_0,"['24371326_0', '29045744_0', '26229474_0', '29045744_1', '29143763_0', '35915384_1', '28180904_0', '28062262_0', '25904723_1', '37403365_1']",1,1.0
0.65,37175421_0,"['27818232_0', '37175421_0', '36077809_0', '37759727_0', '37492179_0', '33195338_0', '35954165_0', '36077809_1', '35490641_0', '37420843_0']",1,0.5
0.7,32942903_0,"['32942903_0', '24289983_0', '26637947_0', '30811274_0', '37307647_0', '26070109_1', '32352985_0', '37257484_0', '37307647_1', '37397318_1']",1,1.0
0.7,34050339_0,"['34050339_0', '37608987_1', '31611774_0', '36950108_0', '33826888_0', '30152837_0', '37222619_0', '35527819_0', '32670012_1', '37396619_0']",1,1.0
0.7,36238668_1,"['37831692_1', '36238668_1', '37121995_2', '36637549_1', '35875744_1', '33386098_0', '33797376_1', '33203255_1', '35271075_1', '37399055_2']",1,0.5
0.7,37177696_0,"['35271075_0', '30654576_0', '34750962_1', '37177696_0', '25713631_0', '36945350_0', '29677974_0', '37750614_0', '35885741_1', '37420680_1']",0,0.25
0.7,32570213_0,"['32570213_0', '24219022_0', '36141869_1', '37063526_0', '37810159_1', '33680164_0', '29620381_1', '29620381_0', '27124201_0', '37435094_1']",1,1.0
0.7,37482976_0,"['37482976_0', '30485276_0', '35279812_1', '35838802_1', '35281771_0', '37189967_1', '30225394_0', '29468939_0', '35740447_0', '37397318_1']",1,1.0
0.7,33849021_0,"['33849021_0', '34373429_0', '35587827_1', '35587827_0', '32522530_1', '36835908_1', '33708925_0', '36182633_0', '34586899_1', '37405133_0']",1,1.0
0.7,36852255_2,"['36852255_2', '36852255_1', '36852255_0', '36203468_1', '36203468_0', '31422141_1', '36336026_0', '36566995_0', '37329614_0', '37395329_0']",1,1.0
0.7,24371326_0,"['24371326_0', '29045744_0', '26229474_0', '29045744_1', '29143763_0', '35915384_1', '28180904_0', '28062262_0', '25904723_1', '37403365_1']",1,1.0
0.7,37175421_0,"['27818232_0', '37175421_0', '36077809_0', '37759727_0', '37492179_0', '33195338_0', '35954165_0', '36077809_1', '35490641_0', '37420843_0']",1,0.5
0.75,32942903_0,"['32942903_0', '24289983_0', '26637947_0', '30811274_0', '37307647_0', '26070109_1', '32352985_0', '37257484_0', '37307647_1', '37397318_1']",1,1.0
0.75,34050339_0,"['34050339_0', '37608987_1', '31611774_0', '36950108_0', '33826888_0', '30152837_0', '37222619_0', '35527819_0', '32670012_1', '37396619_0']",1,1.0
0.75,36238668_1,"['37831692_1', '36238668_1', '37121995_2', '36637549_1', '35875744_1', '33386098_0', '33797376_1', '33203255_1', '35271075_1', '37399055_2']",1,0.5
0.75,37177696_0,"['35271075_0', '30654576_0', '34750962_1', '37177696_0', '25713631_0', '36945350_0', '29677974_0', '37750614_0', '35885741_1', '37420680_1']",0,0.25
0.75,32570213_0,"['32570213_0', '24219022_0', '36141869_1', '37063526_0', '37810159_1', '33680164_0', '29620381_1', '29620381_0', '27124201_0', '37435094_1']",1,1.0
0.75,37482976_0,"['37482976_0', '30485276_0', '35279812_1', '35838802_1', '35281771_0', '37189967_1', '30225394_0', '29468939_0', '35740447_0', '37397318_1']",1,1.0
0.75,33849021_0,"['33849021_0', '34373429_0', '35587827_1', '35587827_0', '32522530_1', '36835908_1', '33708925_0', '36182633_0', '34586899_1', '37405133_0']",1,1.0
0.75,36852255_2,"['36852255_2', '36852255_1', '36852255_0', '36203468_1', '36203468_0', '31422141_1', '36336026_0', '36566995_0', '37329614_0', '37395329_0']",1,1.0
